"StichtagDatJahr","DatenstandCd","QuarSort","QuarCd","QuarLang","KreisSort","KreisCd","KreisLang","EigentuemerSSZPubl1Sort","EigentuemerSSZPubl1Cd","EigentuemerSSZPubl1Lang","AnzZimmerLevel2Sort_noDM","AnzZimmerLevel2Cd_noDM","AnzZimmerLevel2Lang_noDM","AnzWhgStat"
2010,"D",24,"024","Enge",2,"2","Kreis 2",5,"5","Im Stockwerkeigentum",5,"5","5-Zimmer",76
2010,"D",24,"024","Enge",2,"2","Kreis 2",5,"5","Im Stockwerkeigentum",6,"6","6-Zimmer und mehr",39
2010,"D",31,"031","Alt-Wiedikon",3,"3","Kreis 3",1,"1","Öffentliche Hand",1,"1","1-Zimmer",56
2010,"D",31,"031","Alt-Wiedikon",3,"3","Kreis 3",1,"1","Öffentliche Hand",2,"2","2-Zimmer",137
2010,"D",31,"031","Alt-Wiedikon",3,"3","Kreis 3",1,"1","Öffentliche Hand",3,"3","3-Zimmer",152
2010,"D",31,"031","Alt-Wiedikon",3,"3","Kreis 3",1,"1","Öffentliche Hand",4,"4","4-Zimmer",127
2010,"D",31,"031","Alt-Wiedikon",3,"3","Kreis 3",1,"1","Öffentliche Hand",5,"5","5-Zimmer",28
2010,"D",31,"031","Alt-Wiedikon",3,"3","Kreis 3",1,"1","Öffentliche Hand",6,"6","6-Zimmer und mehr",1
2010,"D",31,"031","Alt-Wiedikon",3,"3","Kreis 3",2,"2","Wohnbaugenossenschaften",1,"1","1-Zimmer",5
2010,"D",31,"031","Alt-Wiedikon",3,"3","Kreis 3",2,"2","Wohnbaugenossenschaften",2,"2","2-Zimmer",92
2010,"D",31,"031","Alt-Wiedikon",3,"3","Kreis 3",2,"2","Wohnbaugenossenschaften",3,"3","3-Zimmer",210
2010,"D",31,"031","Alt-Wiedikon",3,"3","Kreis 3",2,"2","Wohnbaugenossenschaften",4,"4","4-Zimmer",43
2010,"D",31,"031","Alt-Wiedikon",3,"3","Kreis 3",2,"2","Wohnbaugenossenschaften",5,"5","5-Zimmer",0
2010,"D",31,"031","Alt-Wiedikon",3,"3","Kreis 3",2,"2","Wohnbaugenossenschaften",6,"6","6-Zimmer und mehr",0
2010,"D",31,"031","Alt-Wiedikon",3,"3","Kreis 3",3,"3","Übrige private Gesellschaften",1,"1","1-Zimmer",453
2010,"D",31,"031","Alt-Wiedikon",3,"3","Kreis 3",3,"3","Übrige private Gesellschaften",2,"2","2-Zimmer",1068
2010,"D",31,"031","Alt-Wiedikon",3,"3","Kreis 3",3,"3","Übrige private Gesellschaften",3,"3","3-Zimmer",1190
2010,"D",31,"031","Alt-Wiedikon",3,"3","Kreis 3",3,"3","Übrige private Gesellschaften",4,"4","4-Zimmer",645
2010,"D",31,"031","Alt-Wiedikon",3,"3","Kreis 3",3,"3","Übrige private Gesellschaften",5,"5","5-Zimmer",200
2010,"D",31,"031","Alt-Wiedikon",3,"3","Kreis 3",3,"3","Übrige private Gesellschaften",6,"6","6-Zimmer und mehr",31
2010,"D",31,"031","Alt-Wiedikon",3,"3","Kreis 3",4,"4","Natürliche Personen",1,"1","1-Zimmer",618
2010,"D",31,"031","Alt-Wiedikon",3,"3","Kreis 3",4,"4","Natürliche Personen",2,"2","2-Zimmer",1164
2010,"D",31,"031","Alt-Wiedikon",3,"3","Kreis 3",4,"4","Natürliche Personen",3,"3","3-Zimmer",1626
2010,"D",31,"031","Alt-Wiedikon",3,"3","Kreis 3",4,"4","Natürliche Personen",4,"4","4-Zimmer",525
